gnd_id,protected_areas
"1212625",0
"1239245",0
"1212705",0
"1239190",0
"1212675",0
"1212605",0
"1239175",0
"1212715",0
"1239180",0
"1212725",0
"1239185",0
"1239240",0
"1215450",0
"1215445",0
"1215350",0
"1215565",0
"1224465",0
"1215380",0
"1224500",0
"1224455",0
"1215375",0
"1215345",0
"1215340",0
"1215360",0
"1215430",0
"1227530",0
"1227570",0
"1215415",0
"1227485",0
"1209470",0
"1227540",0
"1227435",0
"1227295",0
"1227490",0
"1227550",0
"1215435",0
"1227690",0
"1227585",0
"1209295",0
"1209460",0
"1209465",0
"1209450",0
"1209305",0
"1209495",0
"1233430",0
"1233125",0
"1233440",0
"1233385",0
"1233435",0
"1230285",0
"1233445",0
"1233400",0
"1227740",0
"1227735",0
"1227730",0
"1212115",0
"1227725",0
"1227720",0
"1233185",0
"1233320",0
"1212050",0
"1212035",0.197388712891745
"1227675",0
"1212540",0
"1227595",0
"1227685",0
"1227600",0
"1212130",0
"1212010",0
"1224505",0
"1212015",0
"1212005",0
"1212020",0
"1212025",0
"1212030",0
"1212040",0
"1227120",0
"1212515",0
"1227310",0
"1227135",0
"1209455",0
"1227560",0
"1227715",0
"1209475",0
"1227060",0
"1227050",0
"1227125",0
"1227040",0
"1227575",0
"1227225",0
"1233390",0
"1227330",0.609319920687259
"1227030",0
"1227630",0
"1227640",0
"1227070",0
"1227065",0
"1227025",0
"1224420",0
"1227045",0
"1236100",0
"1233450",0
"1227140",0
"1227085",0
"1236120",0
"1215560",0
"1236090",0
"1236115",0
"1215505",0
"1215605",0
"1215515",0
"1215600",0
"1233035",0
"1233045",0
"1221025",0
"1206390",0
"1230665",0
"1230640",0
"1218010",0.507633468795314
"1218005",0.00324645239909918
"1218020",0
"1218015",0.596678463984622
"1215520",0
"1218025",0.0192623690195222
"1230170",0
"1230175",0
"1230270",0
"1230230",0
"1230305",0.126984919972824
"1230040",0
"1230645",0
"1230310",0
"1212590",0
"1227315",0.0316742214531763
"1212660",0
"1212665",0
"1209090",0
"1212740",0
"1230010",0
"1209095",0
"1209250",0
"1227605",0
"1221110",0
"1221105",0
"1221120",0
"1221115",0
"1221140",0
"1221130",0
"1212550",0
"1206045",0
"1212520",0
"1212575",0
"1212530",0
"1212700",0
"1227705",0
"1227695",0
